addr_street,number_of_parks
300 EAST 64 STREET,3
300 EAST 85 STREET,3
300 EAST 93 STREET,1
300 FT WASHINGTON AVENUE,11
300 HICKS STREET,19
300 NORTH END AVENUE,20
300 RECTOR PLACE,20
300 WADSWORTH AVENUE,8
300 WEST 108 STREET,2
300 WEST 135 STREET,9
300 WEST 14 STREET,15
300 WEST 21ST STREET,12
3000 OCEAN PARKWAY,3
301 100 STREET,6
301 6 AVENUE,16
301 EAST 21ST STREET,14
301 EAST 26 STREET,2
301 EAST 45 STREET,2
301 EAST 61ST STREET,4
301 EAST 63 STREET,2
301 EAST 79 STREET,0
301 EAST 87 STREET,2
301 STANHOPE STREET,4
301 WEST 110TH STREET,10
301 WEST 115TH STREET,11
301 WEST 53RD STREET,0
301 WEST 57 STREET,1
301-303 EAST 4 STREET,12
3015 AVENUE D,1
302 2 STREET,3
302 8 AVENUE,11
302 BEDFORD AVENUE,12
302 COLUMBUS AVENUE,16
302 EAST 19 STREET,13
302 EASTERN PARKWAY,5
302 MARINE AVENUE,6
302 PLEASANT AVENUE,8
302 WEST 107 STREET,2
302 WEST 109 STREET,6
302 WEST 12 STREET,17
302 WINDSOR PLACE,13
3020 AVENUE D,1
3021 AVENUE I,2
303 99 STREET,6
303 BAY 11 STREET,3
303 BEVERLY ROAD,2
303 DOUGLASS STREET,7
303 EAST 12 STREET,12
303 EAST 33 STREET,3
303 EAST 43 STREET,2
303 EAST 57 STREET,3
303 EAST 83 STREET,1
303 EAST 94 STREET,6
303 GREENWICH STREET,20
303 PARK AVENUE SOUTH,15
303 STOCKHOLM STREET,3
303 WEST 11TH STREET,15
3031 BRIGHTON 14 STREET,3
3034 KINGSBRIDGE AVENUE,9
304 AINSLIE STREET,9
304 EAST 11 STREET,13
304 EAST 41 STREET,2
304 EAST 65 STREET,2
304 EAST 91 STREET,2
304 SCHAEFER STREET,4
304 SPRING STREET,15
304 WEST 106 STREET,6
304 WEST 109 STREET,6
304 WEST 147 STREET,10
3045 OCEAN PARKWAY,3
3049 BRIGHTON 6 STREET,4
305 2 AVENUE,14
305 6 STREET,3
305 BROOME STREET,16
305 EAST 111 STREET,9
305 EAST 24 STREET,11
305 EAST 51 STREET,6
305 EAST 63 STREET,3
305 EAST 86 STREET,2
305 EAST 92 STREET,2
305 EAST 94 STREET,7
305 EAST 95 STREET,5
305 MC GUINNESS BLVD,5
305 OCEAN PARKWAY,1
305 W 16TH STREET,14
305 WEST 123 STREET,8
305 WEST 150TH STREET,10
305 WEST 18 STREET,13
305 WEST 20 STREET,14
305 WEST 45 STREET,3
305 WEST 50 STREET,0
305 WEST 91 STREET,9
305 WEST BROADWAY,18
3050 CORLEAR AVENUE,8
3052 BRIGHTON 1 STREET,3
3052 BRIGHTON 5 STREET,4
306 DEAN STREET,9
306 EAST 6 STREET,12
306 GOLD STREET,14
306 ST JAMES PLACE,8
306 WEST 106 STREET,6
306 WEST 48 STREET,11
307 EAST 162 STREET,10
307 EAST 6 STREET,13
307 WEST 106 STREET,6
307 WEST 137 STREET,7
307 WEST 74 STREET,12
308 12 STREET,7
308 EAST 38 STREET,12
308 EAST 56 STREET,2
308 EAST 6 STREET,12
308 EAST 83 STREET,1
308 EAST 85 STREET,3
308 HEMLOCK STREET,4
308 JEFFERSON STREET,5
308 ONDERDONK AVENUE,2
308 WEST 107 STREET,4
308 WEST 18 STREET,13
308 WEST 30 STREET,10
308 WEST 48 STREET,11
308 WEST 77 STREET,12
308 WEST 82 STREET,10
308 WEST 92 STREET,8
309 5 AVENUE,13
309 AVENUE C,10
309 EAST 109 STREET,9
309 EAST 69 STREET,1
309 EAST 83 STREET,2
309 GRAND STREET,10
309 SCHOLES STREET,7
309 WEST 106 STREET,5
309 WEST 21 STREET,10
3096 BRIGHTON 6 STREET,4
31 2 PLACE,8
31 BROOKLYN AVENUE,5
31 EAST 1 STREET,12
31 HOPE STREET,12
31 KOSCIUSZKO STREET,6
31 LOCUST STREET,4
31 MONROE PLACE,20
31 MT HOPE PLACE,11
31 PARK PLACE,9
31 PARK TERRACE WEST,8
31 SPRING STREET,15
31 ST JOHN'S PLACE,6
31 ST MARK'S PLACE,13
31 WEST 85 STREET,2
31-01 VERNON BOULEVARD,5
31-03 23 STREET,5
31-06 38 STREET,4
31-06 89 STREET,7
31-08 46 STREET,4
31-11 24 AVENUE,5
31-11 38 STREET,4
31-12 23 STREET,5
31-12 74 STREET,6
31-14 28 ROAD,3
31-14 34 STREET,3
31-16 31 STREET,4
31-16 68 STREET,4
31-18 36 AVENUE,3
31-20 38 STREET,4
31-20 47 STREET,3
31-22 34 STREET,3
31-22 44 STREET,3
31-23 32 STREET,4
31-23 47 STREET,3
31-24 28 AVENUE,3
31-27 35 STREET,3
31-28 29 STREET,4
31-28 47 STREET,3
31-30 DITMARS BOULEVARD,3
31-32 21 AVENUE,3
31-32 31 STREET,4
31-33 32 STREET,4
31-33 42 STREET,4
31-34 38 STREET,3
31-35 30 STREET,4
31-35 31 STREET,4
31-35 47 STREET,3
31-35 CRESCENT STREET,4
31-37 28 ROAD,3
31-38 29 STREET,4
31-38 35 STREET,3
31-38 38 STREET,3
31-40 42 STREET,3
31-42 37 STREET,4
31-47 30 STREET,4
31-50 30 STREET,4
31-51 41 STREET,2
31-52 36 STREET,4
31-54 31 STREET,4
31-55 41 STREET,2
31-56 34 STREET,4
31-57 VERNON BOULEVARD,5
31-59 34 STREET,4
31-60 38 STREET,3
31-62 29 STREET,5
31-63 38 STREET,3
31-64 30 STREET,4
31-64 46 STREET,4
31-65 29 STREET,4
31-65 35 STREET,3
31-66 43 STREET,4
31-67 37 STREET,3
31-69 37 STREET,4
31-71 37 STREET,4
31-74 29 STREET,5
31-74 45 STREET,4
31-78 34 STREET,5
310 1 AVENUE,11
310 7 STREET,2
310 94 STREET,4
310 BEVERLY ROAD,1
310 EAST 105 STREET,13
310 EAST 15 STREET,14
310 EAST 55 STREET,5
310 EAST 6 STREET,12
310 GRAHAM AVENUE,10
310 SOUTH 1 STREET,13
310 ST NICHOLAS AVENUE,6
310 WEST 38 STREET,12
310 WEST 47 STREET,0
310 WEST 52 STREET,8
310 WEST 55 STREET,1
3100 ATLANTIC AVENUE,3
3101 BRIGHTON 2 STREET,3
3109 ROBERTS AVENUE,3
311 ADELPHI STREET,9
311 ALEXANDER AVENUE,12
311 EAST 11 STREET,13
311 EAST 25 STREET,11
311 EAST 50 STREET,6
311 EAST 75 STREET,1
311 EAST 80 STREET,0
311 ECKFORD STREET,6
311 GRAHAM AVENUE,11
311 GREENWICH STREET,20
311 PRESIDENT STREET,6
311 SAINT NICHOLAS AV,6
311 WEST 50 STREET,10
311 WEST 91 STREET,9
3111 BRIGHTON 1 PLACE,3
3111 BRIGHTON 7 STREET,3
3112 EMMONS AVENUE,3
3117 BROADWAY,4
312 11 AVENUE,14
312 EAST 9 STREET,13
312 PLEASANT AVENUE,7
312 STUYVESANT AVENUE,3
312 SUYDAM STREET,3
312 WEST 48 STREET,11
312 WEST 58 STREET,1
312 WEST 81 STREET,10
312 WEST 87 STREET,8
312-316 EAST 30 STREET,7
313 52 STREET,1
313 ALEXANDER AVENUE,12
313 EAST 14 STREET,14
313 EAST 5 STREET,13
313 EAST 61 STREET,5
313 EAST 78 STREET,0
313 ST MARK'S AVENUE,10
313 WEST 119 STREET,11
313 WEST 17 STREET,13
313 WEST 22 STREET,11
313 WEST 55 STREET,1
3135 BROADWAY,4
3139 BROADWAY,5
314 19 STREET,6
314 5 AVENUE,4
314 7 AVENUE,7
314 CUMBERLAND STREET,9
314 EAST 41 STREET,3
314 EAST 62 STREET,4
314 EAST 9 STREET,13
314 WEST 43 STREET,10
314 WEST 51 STREET,10
314 WEST 52 STREET,0
314 WEST 94 STREET,7
315 10 AVENUE,14
315 61 STREET,1
315 AVENUE C,10
315 EAST 10 STREET,10
315 EAST 108 STREET,10
315 EAST 56 STREET,4
315 EAST 69 STREET,1
315 EAST 74 STREET,1
315 NEW YORK AVENUE,3
315 OCEAN PARKWAY,1
315 OVINGTON AVENUE,3
315 TROUTMAN STREET,4
315 WEST 19 STREET,13
315 WEST 30 STREET,12
315 WEST 33 STREET,10
315 WEST 74 STREET,12
315 WEST 77 STREET,13
3155 BROADWAY,5
316 7 AVENUE,7
316 78 STREET,0
316 BERGEN STREET,10
316 EAST 19 STREET,13
316 LEXINGTON AVENUE,3
316 MARINE AVENUE,6
316 OVINGTON AVENUE,2
316 WEST 104 STREET,7
316 WEST 19 STREET,13
3160 ALBANY CRESCENT,11
3165 EMMONS AVENUE,2
317 7 STREET,2
317 80 STREET,2
317 ALEXANDER AVENUE,11
317 EAST 52 STREET,6
317 GREENWOOD AVENUE,7
317 HARMAN STREET,5
317 HICKS STREET,19
317 UNION AVENUE,11
317 WEST 35 STREET,11
318 11 STREET,6
318 COVERT STREET,4
318 EAST 34 STREET,3
318 EVERGREEN AVENUE,5
318 GRAND STREET,9
318 HART STREET,5
318 PROSPECT AVENUE,8
318 WEST 105 STREET,7
319 18 STREET,7
319 BALTIC STREET,6
319 EAST 10 STREET,10
319 EAST 108 STREET,9
319 EAST 25 STREET,9
319 EAST 5 STREET,13
319 EAST 52 STREET,3
319 EAST 90 STREET,2
319 GRAHAM AVENUE,11
319 SCHERMERHORN STREET,13
319 VAN BRUNT STREET,7
319 VANDERBILT STREET,8
319 WEST 105 STREET,6
319 WEST 116 STREET,9
319 WEST 47 STREET,12
319 WINTHROP STREET,4
3191 EMMONS AVENUE,3
32 4 PLACE,9
32 AVENUE A,14
32 CLAVER PLACE,4
32 GRAMERCY PARK SOUTH,13
32 LENOX ROAD,5
32 LIVINGSTON STREET,17
32 NORTH PORTLAND AVE,5
32 ST MARK'S PLACE,15
32 WEST 126 STREET,13
32 WEST 73 STREET,19
32 WEST 87 STREET,2
32-02 29 STREET,3
32-05 NEWTOWN AVENUE,3
32-06 84 STREET,9
32-07 BROADWAY,4
32-11 33 STREET,4
32-17 51 STREET,4
32-19 33 STREET,5
32-21 35 STREET,5
32-22 47 STREET,5
32-32 32 STREET,4
32-32 35 STREET,5
32-36 36 STREET,4
32-37 32 STREET,4
32-37 33 STREET,4
32-40 46 STREET,5
32-40 72 STREET,5
32-41 34 STREET,5
32-41 43 STREET,3
32-43 46 STREET,5
32-44 47 STREET,5
32-48 41 STREET,3
32-49 47 STREET,5
32-50 35 STREET,4
32-50 42 STREET,3
32-50 44 STREET,4
32-52 42 STREET,3
32-52 46 STREET,5
32-63 47 STREET,5
32-64 37 STREET,4
32-65 45 STREET,5
32-65 47 STREET,5
32-69 33RD STREET,3
32-70 33 STREET,4
32-71 48 STREET,6
32-73 48 STREET,7
32-75 36 STREET,4
32-75 44 STREET,4
32-75 46 STREET,5
32-76 34 STREET,3
32-76 38 STREET,3
32-77 37 STREET,4
32-81 45 STREET,5
32-82 34 STREET,3
32-84 30 STREET,3
32-84 31 STREET,4
320 42 STREET,6
320 61 STREET,1
320 EAST 109 STREET,9
320 EAST 54 STREET,5
320 LINCOLN PLACE,12
320 OCEAN PARKWAY,1
320 QUINCY STREET,4
320 SOUTH 4 STREET,9
320 WASHINGTON AVENUE,9
320 WEST 106 STREET,6
320 WEST 20 STREET,14
321 22 STREET,5
321 44 STREET,6
321 BROADWAY,8
321 CARROLL STREET,10
321 EAST 115 STREET,3
321 EAST 18 STREET,15
321 EAST 22 STREET,11
321 EAST 25 STREET,9
321 EAST 48 STREET,5
321 EAST 53 STREET,5
321 EAST 54 STREET,5
321 EAST 63 STREET,3
321 EAST 9 STREET,13
321 OVINGTON AVENUE,3
321 PUTNAM AVENUE,3
321 STANHOPE STREET,4
321 STOCKHOLM STREET,4
321 WEST 103 STREET,7
321 WEST 13 STREET,16
321 WEST 37 STREET,13
321 WYTHE AVENUE,10
3210 ARLINGTON AVENUE,10
3211 AVENUE I,2
3217 IRWIN AVENUE,7
322 2 AVENUE,14
322 EAST 14 STREET,12
322 EAST 6 STREET,13
322 EAST 82 STREET,2
322 EAST 85 STREET,2
322 WEST 137 STREET,7
322 WEST 57TH STREET,1
323 5 AVENUE,3
323 EAST 19 STREET,1
323 EAST 8 STREET,11
323 LEONARD STREET,13
323 PARK AVENUE SOUTH,12
323 SOUTH 5 STREET,9
323 STANHOPE STREET,4
323 WEST 74 STREET,12
323 WEST 75 STREET,12
323 WEST 96 STREET,9
323A GREENWICH STREET,20
324 12 STREET,8
324 DE GRAW STREET,7
324 DEAN STREET,10
324 EAST 112 STREET,8
324 EAST 13 STREET,12
324 GRAND AVENUE,6
324 POWERS STREET,6
324 WEST 76 STREET,11
324 WEST 84 STREET,7
325 3 AVENUE,14
325 5 AVENUE,13
325 76 STREET,1
325 EAST 14 STREET,14
325 EAST 21 STREET,11
325 EAST 50 STREET,5
325 EAST 88 STREET,2
325 KENT AVENUE,7
325 LEXINGTON AVENUE,13
325 NORTH END AVENUE,13
325 WEST 13 STREET,15
325 WEST 30 STREET,12
325 WEST 45 STREET,11
325 WEST 51 STREET,8
325 WEST 57 STREET,1
326 85 STREET,2
326 EAST 13 STREET,12
326 LINCOLN PLACE,10
327 CENTRAL PARK WEST,10
327 EAST 14 STREET,14
327 WEST 35 STREET,10
327 WEST 87 STREET,8
328 BLEECKER STREET,18
328 EAST 120 STREET,10
328 EAST 14 STREET,13
328 EAST 15 STREET,14
328 EAST 55 STREET,5
328 EAST 78 STREET,0
328 EAST 86 STREET,2
328 EAST 9 STREET,13
328 EAST 94 STREET,5
328 WEST 11 STREET,16
328 WEST 19 STREET,13
328 WEST 44 STREET,11
329 14 STREET,8
329 3 AVENUE,14
329 93 STREET,4
329 BAY 11 STREET,3
329 SOUTH 4 STREET,12
329 STERLING STREET,1
329 WEST 101 STREET,8
329 WEST 57 STREET,1
3291 HULL AVENUE,5
33 BANK STREET,15
33 CATON PLACE,8
33 EAST 22 STREET,12
33 RECTOR STREET,20
33 SOUTH ELLIOTT PLACE,13
33 ST MARK'S PLACE,13
33 ST NICHOLAS AVENUE,2
33 STERLING PLACE,7
33 WEST 63 STREET,2
33 WEST 9 STREET,20
33 WORTH STREET,20
33-01 38 AVENUE,4
33-05 28 AVENUE,3
33-05 BROADWAY,5
33-10 24 AVENUE,4
33-10 34 AVENUE,3
33-15 28 STREET,4
33-16 28 AVENUE,4
33-18 24 AVENUE,4
33-21 76 STREET,5
33-26 14 STREET,4
33-30 85 STREET,5
33-31 29 STREET,4
33-35 76 STREET,5
33-41 JUNCTION BOULEVARD,5
33-53 82 STREET,4
330 1 AVENUE,7
330 BLEECKER STREET,6
330 CARROLL STREET,10
330 EAST 109 STREET,9
330 EAST 15 STREET,14
330 EAST 22 STREET,1
330 EAST 33 STREET,3
330 EAST 38 STREET,12
330 EAST 43 STREET,3
330 EAST 46 STREET,4
330 EAST 49 STREET,6
330 EAST 52 STREET,7
330 EAST 57 STREET,5
330 EAST 71 STREET,2
330 EAST 72 STREET,1
330 EAST 75 STREET,1
330 EAST 84 STREET,2
330 HIMROD STREET,4
330 OCEAN PARKWAY,1
330 QUINCY STREET,4
330 SPRING STREET,14
330 TROY AVENUE,3
330 WEST 145 STREET,11
330 WEST 17 STREET,13
330 WEST 22 STREET,12
330 WEST 58 STREET,1
330 WEST 86 STREET,7
3301 NOSTRAND AVENUE,5
3302 MERMAID AVENUE,4
331 ADELPHI STREET,10
331 EAST 5 STREET,14
331 EAST 58 STREET,4
331 EAST 89 STREET,2
331 KINGS HIGHWAY,1
331 KOSCIUSZKO STREET,6
331 SENATOR STREET,2
3310 KOSSUTH AVENUE,7
332 CENTRAL AVENUE,4
332 EAST 6 STREET,12
332 EAST 91 STREET,2
333 3 AVENUE,15
333 4 STREET,3
333 85 STREET,3
333 EAST 109 STREET,9
333 EAST 14 STREET,15
333 EAST 30 STREET,2
333 EAST 33 STREET,3
333 EAST 34 STREET,3
333 EAST 46 STREET,4
333 EAST 49 STREET,9
333 EAST 56 STREET,5
333 EAST 83 STREET,2
333 EAST 9 STREET,0
333 EAST 91ST STREET,2
333 HANCOCK STREET,5
333 PEARL STREET,19
333 RECTOR PLACE,20
333 SCHERMERHORN STREET,5
333 WEST 43 STREET,11
333 WEST 56TH STREET,1
333 WEST 57 STREET,1
3333 BROADWAY,11
3333 BRUNER AVENUE,1
3333 HENRY HUDSON PARKWAY,10
334 BOWERY,15
334 CLINTON AVENUE,10
334 EAST 117 STREET,10
334 EAST 13 STREET,12
334 EAST 91 STREET,2
334 EAST 94 STREET,5
334 GRAND STREET,16
334 GREENE AVENUE,4
334 LORIMER STREET,7
334 WEST 17 STREET,13
334 WEST 46 STREET,12
334 WEST 71 STREET,14
334 WEST 87 STREET,7
335 43 STREET,6
335 BEDFORD AVENUE,10
335 CARROLL STREET,9
335 EAST 33 STREET,3
335 EAST 95 STREET,6
335 LEFFERTS AVENUE,2
335 MACON STREET,5
335 WEST 29 STREET,9
336 49 STREET,2
336 CLINTON AVENUE,4
336 EAST 19 STREET,13
336 EAST 5 STREET,15
336 EAST 54 STREET,7
336 EAST 73 STREET,1
336 FLATBUSH AVENUE,6
336 FT WASHINGTON AVENUE,11
336 WEST 47 STREET,13
3364 GUIDER AVENUE,4
337 22 STREET,5
337 95 STREET,6
337 EAST 49 STREET,7
337 EAST 6 STREET,12
337 MELROSE STREET,3
337 PROSPECT AVENUE,8
337 WEST 43 STREET,11
338 EAST 15 STREET,15
338 EAST 5 STREET,14
338 EAST 53 STREET,5
338 EAST 70 STREET,1
338 HAMILTON AVENUE,6
338 LINCOLN ROAD,3
339 57 STREET,1
339 EAST 12 STREET,13
339 EAST 5 STREET,14
339 EAST 6 STREET,12
339 EAST 90 STREET,2
34 BERRY STREET,11
34 DESBROSSES STREET,18
34 DITMARS STREET,4
34 ECKFORD STREET,12
34 LEONARD STREET,20
34 LIVINGSTON STREET,16
34 NORTH 7 STREET,10
34 ST JAMES PLACE,8
34 WEST 22 STREET,10
34-01 29 STREET,3
34-01 9 STREET,4
34-04 28 AVENUE,4
34-04 31 AVENUE,3
34-07 36 AVENUE,3
34-15 37 AVENUE,4
34-15 74TH STREET,4
34-15 PARSONS BOULEVARD,5
34-17 37 STREET,4
34-20 34 STREET,3
34-20 CRESCENT STREET,2
34-21 41 STREET,4
34-21 77 STREET,6
34-22 28 STREET,3
34-23 43 STREET,4
34-24 44 STREET,4
34-26 41 STREET,4
34-26 44 STREET,4
34-29 33 STREET,3
34-31 29 STREET,2
34-32 10 STREET,4
34-32 35 STREET,3
34-35 76 STREET,6
34-40 33 STREET,3
34-41 78 STREET,6
34-41-34-45 LEAVITT STREET,5
34-43 CRESCENT STREET,1
34-43 FRANCIS LEWIS BOULEVARD,1
34-50 28 STREET,3
34-50 41 STREET,4
34-50 59 STREET,7
34-56 33 STREET,3
34-56 64 STREET,5
34-59 9 STREET,3
340 41 STREET,6
340 9 AVENUE,10
340 BAY RIDGE PARKWAY,1
340 CLINTON AVENUE,10
340 EAST 134 STREET,9
340 EAST 23RD STREET,10
340 EAST 51 STREET,7
340 ROEBLING STREET,9
340 WEST 57 STREET,1
3401 RIVERDALE AVENUE,7
3405 NEWKIRK AVENUE,2
3405 RIVERDALE AVENUE,7
341 10TH STREET,2
341 EAST 19 STREET,11
341 EAST 5 STREET,14
341 EAST 65 STREET,2
341 EAST 85 STREET,2
341 EASTERN PARKWAY,3
341 PLEASANT AVENUE,8
341 WEST 122 STREET,10
341 WEST 88 STREET,7
3411 CHURCH AVENUE,1
342 BEDFORD AVENUE,9
342 EAST 110 STREET,8
342 EAST 13 STREET,13
342 EAST 9 STREET,14
342 ELDERT STREET,5
342 LENOX AVENUE,11
342 SUYDAM STREET,4
342 WEST 56 STREET,1
3421 BROADWAY,9
343 1 AVENUE,9
343 4 AVENUE,3
343 63 STREET,1
343 BROADWAY,9
343 EAST 30 STREET,2
343 EAST 51 STREET,6
343 EAST 6 STREET,12
343 EAST 74 STREET,2
343 WEST 29 STREET,9
343 WEST 46 STREET,12
343 WEST END AVENUE,12
344 7 AVENUE,8
344 92 STREET,2
344 EAST 78 STREET,0
344 MC GUINNESS BLVD,5
344 WEST 12 STREET,17
3440 GUIDER AVENUE,4
345 17 STREET,8
345 72 STREET,4
345 92 STREET,5
345 ADELPHI STREET,10
345 BERRY STREET,9
345 CARROLL STREET,9
345 EAST 50 STREET,8
345 EAST 81 STREET,1
345 EAST 93 STREET,6
345 ELDERT STREET,4
345 HUMBOLDT STREET,9
345 LEFFERTS AVENUE,3
345 SOUTH END AVENUE,20
345 UNION AVENUE,11
345 WEBSTER AVENUE,0
345 WEST 14 STREET,16
345 WEST 145 STREET,11
3451 GILES PLACE,10
3455 IRWIN AVENUE,7
346 7 AVENUE,8
346 79 STREET,1
346 85 STREET,3
346 BAY RIDGE AVENUE,3
346 EAST 13 STREET,12
346 EAST 29 STREET,2
346 EAST 51 STREET,7
346 EAST 65 STREET,3
346 GATES AVENUE,6
346 LENOX ROAD,3
346 WEST 36 STREET,13
346 WEST 47 STREET,13
346 WEST END AVENUE,12
347 94 STREET,6
347 EAST 53 STREET,3
347 GRAND STREET,10
347 WEST 57 STREET,11
348 EAST 51 STREET,7
348 EAST 66 STREET,2
349 MARLBOROUGH ROAD,0
349 UNION STREET,5
349 WEST END AVENUE,12
35 CLARKSON AVENUE,5
35 CLAVER PLACE,4
35 COOPER STREET,6
35 EAST 38 STREET,13
35 EAST 84TH STREET,2
35 GRANT SQUARE,1
35 JEWEL STREET,6
35 MARKET STREET,12
35 PARK AVENUE,13
35 SEACOAST TERRACE,4
35 ST NICHOLAS TERRACE,8
35 STRATFORD AVENUE,1
35 STRATFORD ROAD,7
35 TENNIS COURT,2
35 WEST 15 STREET,13
35 WEST 33 STREET,9
35 WEST 64 STREET,3
35 WOOSTER STREET,16
35-01 28 STREET,2
35-04 28 AVENUE,3
35-04 31 AVENUE,3
35-05 87 STREET,5
35-05 DITMARS BOULEVARD,3
35-07 DITMARS BOULEVARD,3
35-08 DITMARS BOULEVARD,3
35-09 28 AVENUE,4
35-15 BROADWAY,4
35-16 31 STREET,2
35-17 DITMARS BOULEVARD,3
35-19 147 STREET,3
35-20 28 STREET,2
35-20 LEVERICH STREET,7
35-21 28 STREET,2
35-21 32 STREET,2
35-21 81 STREET,6
35-21 CRESCENT STREET,2
35-25 32 STREET,2
35-40 11 STREET,3
35-40 82 STREET,7
35-42 29 STREET,2
35-43 72 STREET,7
35-57 87 STREET,4
35-64 80 STREET,7
350 7 AVENUE,8
350 ALBANY STREET,20
350 BEDFORD AVENUE,10
350 CENTRAL PARK WEST,9
350 EAST 19 STREET,0
350 EAST 30 STREET,7
350 EAST 62 STREET,6
350 EAST 82 STREET,2
350 EAST 91 STREET,2
350 LINCOLN PLACE,10
350 SOUTH 4 STREET,10
350 SOUTH 5 STREET,11
350 WEST 42 STREET,12
350 WEST 50 STREET,1
350 WEST 53 STREET,0
350 WEST 57TH STREET,1
3500 SNYDER AVENUE,0
3501 FOSTER AVENUE,2
3502 BROADWAY,10
3507 FT INDEPENDENCE ST,4
351 3 AVENUE,13
351 54 STREET,0
351 BEDFORD AVENUE,10
351 EAST 18 STREET,12
351 EAST 51 STREET,6
351 EAST 84TH STREET,2
351 MARINE AVENUE,7
351 SOUTH 5 STREET,11
351 WEST 141 STREET,11
351 WEST 29 STREET,9
351 WEST 47 STREET,14
351 WEST 54 STREET,1
352 57 STREET,1
352 6 AVENUE,3
352 63 STREET,1
352 80 STREET,1
352 EAST 134 STREET,9
352 EAST 91 STREET,2
352 PROSPECT PLACE,9
352 WEIRFIELD STREET,4
353 21 STREET,5
353 CENTRAL PARK WEST,9
353 E. 104 STREET,12
353 MANHATTAN AVENUE,9
353 MARION STREET,7
353 TOMPKINS AVENUE,5
353 WEST 19 STREET,16
353 WEST END AVENUE,12
354 22 STREET,6
354 BROOME STREET,15
354 EAST 78 STREET,0
354 EAST 87 STREET,2
354 EAST 91 STREET,2
3540 DEKALB AVENUE,4
355 5 AVENUE,3
355 80 STREET,1
355 BLEECKER STREET,17
355 GRAHAM AVENUE,14
355 KNICKERBOCKER AVENUE,4
355 PROSPECT AVENUE,8
355 SOUTH END AVENUE,20
355 STOCKHOLM STREET,3
355 WEST 20 STREET,14
3555 OXFORD AVENUE,9
356 62 STREET,1
356 METROPOLITAN AVENUE,14
356 ST JOHN'S PLACE,11
356 STATE STREET,8
356 WEST 45 STREET,11
357 91 STREET,4
357 WEST 54 STREET,1
358 PALMETTO STREET,7
358 VAN BRUNT STREET,7
359 CLINTON STREET,9
359 EAST 19 STREET,11
359 EAST 21 STREET,1
36 3 STREET,8
36 72 STREET,6
36 GRAMERCY PARK EAST,14
36 JEWEL STREET,7
36 LAIGHT STREET,20
36 LEFFERTS PLACE,6
36 MARCY AVENUE,11
36 PECK SLIP,16
36 RALPH AVENUE,3
36 SOUTH 4 STREET,9
36 UNION SQUARE,12
36-01 CORPORAL STONE ST,3
36-05 VERNON BOULEVARD,1
36-06 30 STREET,2
36-06 DITMARS BOULEVARD,3
36-11 31 AVENUE,3
36-12 31 AVENUE,3
36-14 165 STREET,2
36-14 30 AVENUE,3
36-16 24 AVENUE,1
36-18 23 AVENUE,3
36-20 BOWNE STREET,7
36-20 PARSONS BOULEVARD,7
36-23 213 STREET,2
36-28 24 STREET,2
36-29 34 STREET,1
36-30 30 STREET,3
36-31 30 STREET,3
36-32 24 STREET,2
36-35 167 STREET,2
360 41 STREET,7
360 49 STREET,2
360 85 STREET,2
360 CENTRAL PARK WEST,1
360 DEAN STREET,10
360 EAST 55TH STREET,5
360 EAST 57 STREET,4
360 EAST 88 STREET,2
360 EAST 89TH STREET,2
360 FRANKLIN AVENUE,5
360 FURMAN STREET,17
360 MENAHAN STREET,5
360 PALMETTO STREET,7
360 SMITH STREET,8
360 WEST 34 STREET,12
360 WEST 43 STREET,12
360 WEST 51 STREET,8
3600 FIELDSTON ROAD,7
3605 SEDGWICK AVENUE,9
361 CENTRAL PARK WEST,11
361 GRAHAM AVENUE,13
361 LENOX AVENUE,10
361 LINCOLN PLACE,10
361 WEST 46 STREET,12
362 CARROLL STREET,8
362 STOCKTON STREET,5
362 WEST 30 STREET,10
3620 OXFORD AVENUE,7
3625 OXFORD AVENUE,8
3626 KINGS HIGHWAY,4
363 91 STREET,5
363 EAST 76 STREET,1
363 EDGECOMBE AVENUE,10
363 PALMETTO STREET,7
363 PROSPECT PLACE,11
3636 FIELDSTON ROAD,6
364 WEST 18TH STREET,14
3640 CORLEAR AVENUE,8
365 82 STREET,1
365 86 STREET,3
365 BRIDGE STREET,12
365 CANAL STREET,18
365 COLUMBIA STREET,5
365 SOUTH END AVENUE,20
365 WEST 116 STREET,9
365 WEST 126 STREET,10
365 WEST 52 STREET,0
366 WADSWORTH AVENUE,11
366 WEST 11 STREET,14
366 WEST 23 STREET,13
3660 OXFORD AVENUE,7
3660 WALDO AVENUE,6
3661 BROADWAY,10
367 14 STREET,8
367 5 AVENUE,2
367 96 STREET,6
367 AVENUE S,1
367 WADSWORTH AVENUE,9
3671 HUDSON MANOR TERRACE,7
368 7 AVENUE,9
368 94 STREET,6
368 WEST 52 STREET,0
369 51 STREET,1
369 7 AVENUE,9
369 BLEECKER STREET,9
369 CLINTON STREET,9
369 COLUMBIA STREET,6
369 WEST 126 STREET,9
37 BAY 26 STREET,2
37 CATHERINE STREET,14
37 EAST 67 STREET,3
37 GREAT JONES STREET,14
37 JEWEL STREET,6
37 LISPENARD STREET,18
37 MADISON STREET,16
37 SOUTH 3 STREET,8
37 WALL STREET,20
37 WARREN STREET,20
37 WEST 19 STREET,13
37 WEST 21 STREET,11
37-01 30 AVENUE,3
37-05 68 STREET,8
37-07 147 STREET,4
37-07 24 AVENUE,2
37-14 GREENPOINT AVENUE,1
37-16 83 STREET,8
37-19 79 STREET,8
